"","YEAR","STATE","ARR_HOUR","ARR_MIN","CF1","CF2","CF3","CITY","COUNTY","DAY","DAY_WEEK","DRUNK_DR","FATALS","HARM_EV","HOUR","LGT_COND","MAN_COLL","MINUTE","MONTH","NOT_HOUR","NOT_MIN","PERSONS","RAIL","REL_ROAD","SCH_BUS","SP_JUR","ST_CASE","VE_FORMS","WEATHER"
"1783",2009,49,24.1981566820277,38.8709677419355,0.788018433179724,0,0,808.322580645161,32.668202764977,14.9815668202765,3.94470046082949,0.207373271889401,1.12442396313364,12.5760368663594,12.963133640553,1.71889400921659,1.48847926267281,27.6221198156682,6.31797235023041,22.8294930875576,38.1336405529954,3.05529953917051,2,3.10138248847926,0.00460829493087558,0.0138248847926267,490109.534562212,1.59447004608295,1.28571428571429
"1784",2009,50,13.9130434782609,28.8695652173913,5.34782608695652,2.8695652173913,2.8695652173913,965.63768115942,14.9420289855072,14.231884057971,4.31884057971014,0.376811594202899,1.07246376811594,20.4202898550725,19,1.59420289855072,1.15942028985507,32.6376811594203,7.53623188405797,13.7246376811594,28.9565217391304,2.33333333333333,2.2463768115942,2.65217391304348,0,0,500035.985507246,1.40579710144928,1.50724637681159
"1785",2009,51,88.1666666666667,89.3563218390805,0.859195402298851,0.317528735632184,0.28448275862069,328.686781609195,214.563218390805,16.0574712643678,4.28304597701149,0.352011494252874,1.08908045977011,23.3620689655172,12.8261494252874,1.77442528735632,1.27873563218391,27.985632183908,6.70402298850575,95.0962643678161,95.0962643678161,2.14367816091954,2.83477011494253,2.61494252873563,0.0028735632183908,0.0028735632183908,510351.862068966,1.40086206896552,1.19971264367816
"1786",2009,53,22.476821192053,36.8256070640177,0.194260485651214,0,0,548.766004415011,46.0419426048565,15.3443708609272,4.15452538631347,0.485651214128035,1.08609271523179,16.5960264900662,12.2030905077263,1.93377483443709,1.16556291390728,27.2891832229581,6.84105960264901,22.19646799117,35.766004415011,2.44150110375276,2,2.61810154525386,0,0.0838852097130243,530229.732891832,1.39955849889625,1.35761589403974
"1787",2009,54,49.6246153846154,60.3969230769231,0.732307692307692,0.0123076923076923,0,1250.30769230769,49.6769230769231,15.5076923076923,4.14153846153846,0.4,1.09846153846154,21.4492307692308,12.8246153846154,1.63692307692308,1.04923076923077,27.3723076923077,6.45846153846154,48.8861538461538,58.7907692307692,2.20307692307692,2,2.39384615384615,0.00307692307692308,0,540163.723076923,1.38769230769231,1.33230769230769
"1788",2009,55,29.9247524752475,43.5366336633663,1.44554455445545,0.0455445544554455,0,968.441584158416,76.1524752475247,15.9841584158416,4.22376237623762,0.451485148514851,1.11089108910891,18.3009900990099,16.9445544554455,1.78613861386139,1.87524752475248,33.0336633663366,6.93861386138614,25.7683168316832,40.0851485148515,2.30693069306931,2.28118811881188,2.57623762376238,0.00594059405940594,0.0297029702970297,550253.356435644,1.44356435643564,1.34257425742574
"1789",2009,56,27.7413793103448,41.2327586206897,0.327586206896552,0,0,56.8965517241379,21.1896551724138,17.25,3.75862068965517,0.413793103448276,1.1551724137931,12.6637931034483,15.2586206896552,1.75,0.939655172413793,29.698275862069,6.78448275862069,27.5258620689655,42.2327586206897,2.72413793103448,2,2.94827586206897,0.00862068965517241,0.206896551724138,560058.5,1.27586206896552,1.61206896551724
"1790",2010,1,16.5025252525253,31.6477272727273,0.547979797979798,0.0176767676767677,0,775.664141414141,74.7676767676768,16.1944444444444,4.18686868686869,0.303030303030303,1.08838383838384,21.3421717171717,12.6313131313131,2.04040404040404,1.71590909090909,26.8181818181818,6.77525252525253,96.3901515151515,96.770202020202,2.28282828282828,2.46085858585859,2.46843434343434,0.00505050505050505,0,10398.5707070707,1.4709595959596,1.80808080808081
"1791",2010,2,61.0576923076923,65.1346153846154,1.69230769230769,0,0,983.211538461538,114.096153846154,16.4230769230769,4.28846153846154,0.365384615384615,1.07692307692308,16.3846153846154,13.7692307692308,1.75,1.5,23.25,7.28846153846154,55.9230769230769,62.7115384615385,2.40384615384615,2,2.21153846153846,0,0,20027.0192307692,1.46153846153846,4.13461538461539
"1792",2010,4,34.778417266187,46.6517985611511,1.02446043165468,0.0273381294964029,0,195.89928057554,14.3942446043165,15.4561151079137,4.26474820143885,0.277697841726619,1.09208633093525,16.9424460431655,17.4086330935252,2.31942446043165,2.01007194244604,32.7870503597122,6.6158273381295,31.8402877697842,44.2374100719424,2.50359712230216,2.27769784172662,6.64604316546763,0.00143884892086331,0.4,40366.0388489209,1.44892086330935,10.9438848920863
"1793",2010,5,30.1624758220503,43.1547388781431,1.51063829787234,0.802707930367505,0.765957446808511,974.017408123791,78.5203094777563,15.110251450677,4.22630560928433,0.340425531914894,1.10444874274662,21.468085106383,13.5435203094778,2.98065764023211,1.97678916827853,28.8588007736944,7.12959381044487,29.8858800773694,42.8955512572534,2.25531914893617,2.7852998065764,2.64603481624758,0.00193423597678917,0.00580270793036751,50260.6963249516,1.45647969052224,1.48936170212766
"1794",2010,6,97.9896166134185,98.1681309904153,1.38099041533546,0.279552715654952,0.101437699680511,1291.73881789137,56.6261980830671,15.9269169329073,4.09664536741214,0.308306709265176,1.08626198083067,16.9341054313099,13.9520766773163,1.99520766773163,1.4508785942492,29.1150159744409,6.76357827476038,94.0874600638978,95.0459265175719,2.35662939297125,2.20886581469649,2.17052715654952,0.00279552715654952,0.00479233226837061,61255.5495207668,1.47603833865815,2.74361022364217
"1795",2010,8,50.6520681265207,61.0535279805353,1.0632603406326,0.0462287104622871,0,410.243309002433,54.6131386861314,15.5717761557178,4.18978102189781,0.316301703163017,1.09489051094891,15.6569343065693,12.7031630170316,1.85158150851582,1.52554744525547,27.7372262773723,7.24087591240876,44.8199513381995,55.9489051094891,2.33333333333333,2.53771289537713,2.33576642335766,0.0024330900243309,0,80206,1.46228710462287,1.1654501216545
"1796",2010,9,32.4749163879599,45.8327759197324,0.54180602006689,0,0,445.939799331104,6.57859531772575,15.7692307692308,4.35117056856187,0.347826086956522,1.07023411371237,21.7324414715719,12.1003344481605,1.91638795986622,1.21739130434783,29.9632107023411,6.62207357859532,17.4247491638796,33.9732441471572,2.02341137123746,2,2.43478260869565,0.00334448160535117,0,90151.1973244147,1.4247491638796,1.45150501672241
