YEAR,STATE,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,DAY,DAY_WEEK,DRUNK_DR,FATALS,HARM_EV,HOUR,LGT_COND,MAN_COLL,MINUTE,MONTH,NOT_HOUR,NOT_MIN,PERSONS,RAIL,REL_ROAD,SCH_BUS,SP_JUR,ST_CASE,VE_FORMS,WEATHER
2016,53,79.45039683,82.09722222,0.906746032,0,0,609.2380952,42.75793651,15.71626984,4.075396825,0.319444444,1.063492063,16.58333333,13.2281746,1.922619048,1.878968254,29.90079365,6.876984127,79.4702381,82.39880952,2.301587302,1.089285714,2.369047619,0.003968254,0.113095238,530264.5972,1.521825397,5.517857143
2016,54,62.84,69.56,1.12,0,0,1251.908,50.384,15.712,4.192,0.276,1.076,18.664,13.1,1.552,1.308,26.456,6.924,62.08,68.068,2.092,1,2.42,0.004,0.004,540127.644,1.452,2.328
2016,55,49.20588235,59.13602941,1.181985294,0.386029412,0.229779412,1039.507353,74.16911765,15.39154412,4.189338235,0.334558824,1.115808824,19.31985294,15.42279412,1.737132353,1.847426471,30.07904412,6.685661765,40.89338235,51.81433824,2.248161765,1.262867647,2.358455882,0.005514706,0.03125,550275.1158,1.46875,5.452205882
2016,56,18.47,35.34,1.35,0,0,63.1,22.88,14.71,3.83,0.3,1.12,12.55,12.93,1.56,1.28,26.64,7.1,18.23,32.96,2.63,1,2.46,0,0.16,560050.5,1.53,1.48
2017,1,19.30324074,33.85648148,1.232638889,0.121527778,0,670.9340278,73.0162037,16.23958333,4.060185185,0.252314815,1.097222222,20.94328704,13.08333333,1.855324074,1.84837963,28.68171296,6.516203704,32.28472222,72.59259259,2.072916667,1.716435185,2.47337963,0,0,10436.62269,1.461805556,3.788194444
2017,2,35.02666667,42.90666667,2.08,1.32,1.32,1160.293333,112.2533333,15.64,4.346666667,0.293333333,1.053333333,18.06666667,21.97333333,2.32,2.853333333,37.2,6.746666667,35.84,49.66666667,2.28,1,3.653333333,0,0.12,20038,1.373333333,7.826666667
2017,4,31.69465649,44.79280262,1.346782988,0.221374046,0,204.002181,14.41221374,15.5910578,4.223555071,0.258451472,1.088331516,15.04471101,14.05016358,2.219193021,3.268266085,29.4263904,6.647764449,30.42202835,43.21155943,2.375136314,1.0087241,5.780806979,0.005452563,0.378407852,40476.30862,1.522355507,9.113413304
2017,5,23.00617284,37.40123457,1.257201646,0.088477366,0,905.2860082,80.48971193,15.71399177,4.216049383,0.265432099,1.080246914,20.77572016,12.58230453,1.742798354,1.775720165,27.85596708,6.526748971,22.70164609,37.11522634,2.146090535,1.718106996,2.541152263,0,0,50252.47119,1.491769547,2.251028807
2017,6,98.29251891,98.40207341,1.943121322,0.430092463,0.205940039,1404.959933,55.80806949,15.90753713,4.073129728,0.300364248,1.088260017,16.57915382,14.64359765,2.045671056,1.559540488,30.10282992,6.729055758,98.46259456,98.73269823,2.284113197,1.103950686,2.108153544,0.000280191,0.022415242,61823.09835,1.540487532,2.311011488
2017,8,55.96333333,63.53666667,1.261666667,0.07,0.038333333,442.5966667,53.36833333,15.37666667,4.096666667,0.335,1.08,16.13833333,13.15333333,1.771666667,1.753333333,27.96166667,6.81,47.925,56.96666667,2.31,1.463333333,2.173333333,0.001666667,0.011666667,80303.04167,1.573333333,82.745
2017,9,37.94676806,49.48669202,3.870722433,2.258555133,2.258555133,448.7414449,6.353612167,15.79467681,4.140684411,0.3878327,1.068441065,20.18250951,14.3269962,2.022813688,2.019011407,30.12547529,6.566539924,36.14068441,48.65779468,2.064638783,1,2.201520913,0.003802281,0,90136.41825,1.463878327,2.190114068
2017,10,21.91071429,36.41071429,4.696428571,1.267857143,0.883928571,45.22321429,3.321428571,16.8125,4.258928571,0.232142857,1.0625,15.60714286,12.50892857,1.892857143,2.008928571,27.91964286,7.303571429,21.01785714,34.19642857,2.107142857,1,2.678571429,0.008928571,0,100056.5,1.544642857,2.642857143
2017,11,51.34482759,55.20689655,5.586206897,3.413793103,3.413793103,10,1,18.31034483,3.862068966,0.448275862,1.068965517,17.96551724,12.72413793,2.620689655,1.206896552,26.20689655,6.75862069,30.51724138,39.27586207,1.827586207,1,2.482758621,0,0,110015.6207,1.310344828,1.068965517
2017,12,95.75316239,96.51145299,0.620512821,0.054017094,0.005128205,764.9907692,72.11384615,15.50632479,4.156923077,0.228034188,1.065299145,15.86017094,12.99384615,2.060512821,1.928888889,28.07623932,6.469059829,95.75692308,96.49846154,2.313504274,1.37982906,2.016410256,0.001709402,0.00034188,121545.7453,1.586324786,2.671111111
2017,13,53.88958333,61.975,0.835416667,0.041666667,0,1259.794444,140.8416667,15.31319444,4.129166667,0.206944444,1.069444444,18.59791667,12.90625,1.677083333,1.902083333,28.5125,6.524305556,53.74305556,62.18055556,2.377777778,1.175,2.120833333,0.004861111,0.00625,130722.4368,1.595833333,3.008333333
2017,15,16.41666667,29.40625,0.9375,0,0,4507.447917,3.3125,15.58333333,4.239583333,0.385416667,1.114583333,19.15625,15.6875,2.145833333,1.729166667,31.35416667,6.78125,16.67708333,33.76041667,2.166666667,1,2.114583333,0,0.020833333,150050.5938,1.5,6.0625
2017,16,18.86160714,36.05357143,1.169642857,0,0,286.0580357,38.99107143,16.15625,4.107142857,0.294642857,1.09375,15.78571429,14.04464286,1.754464286,1.986607143,29.66517857,7.178571429,17.80357143,34.27678571,2.352678571,2.571428571,2.424107143,0,0.142857143,160112.5,1.473214286,3.28125
2017,17,98.37875752,98.40581162,1.528056112,0.294589178,0.137274549,2112.471944,91.27254509,15.39679359,4.137274549,0.326653307,1.092184369,17.90280561,13.49398798,1.841683367,2.016032064,28.95390782,6.695390782,97.87074148,98.06212425,2.340681363,1.44488978,2.21743487,0.002004008,0.001002004,170524.8136,1.570140281,2.137274549
2017,18,99,98.80310263,0.88902148,0.072792363,0,2650.686158,87.38186158,15.90214797,4.235083532,0.196897375,1.093078759,18.90334129,13.07756563,1.707637232,2.394988067,28.11097852,6.65274463,99,98.80310263,2.262529833,1.712410501,2.175417661,0.003579952,0,180430.6838,1.571599045,2.840095465
2017,19,57.19269103,64.18604651,0.661129568,0,0,829.7840532,109.0332226,15.24584718,4.019933555,0.265780731,1.096345515,13.7807309,13.10963455,1.744186047,1.667774086,29.77740864,6.877076412,57.16611296,64.82724252,2.083056478,1.428571429,2.362126246,0.006644518,0.009966777,190156.608,1.49833887,5.405315615
2017,20,18.38820639,32.9017199,1.425061425,0.28992629,0.243243243,1737.176904,114.1449631,15.46437346,4.117936118,0.211302211,1.132678133,16.9017199,15.14987715,1.769041769,2.144963145,29.42751843,6.545454545,17.33660934,33.18918919,2.277641278,1.877149877,2.262899263,0,0.004914005,200207.5749,1.538083538,66.15233415
2017,21,20.2260749,34.37447989,0.821081831,0,0,865.6407767,111.8127601,15.72538141,4.063800277,0.262135922,1.084604716,20.58807212,13.45076283,1.74479889,2.198335645,28.68238558,6.762829404,19.55478502,35.15533981,2.234396671,1.39667129,2.248266297,0,0,210363.1567,1.524271845,3.110957004
2017,22,21.86241135,38.06524823,1.65106383,0.568794326,0.421276596,1278.6,62.93758865,15.97446809,4.243971631,0.330496454,1.092198582,19.53758865,13.09078014,1.926241135,1.492198582,29.86950355,6.418439716,21.00283688,37.31489362,2.130496454,1.392907801,2.384397163,0,0.011347518,220362.6397,1.510638298,3.109219858
2017,23,21.57055215,37.45398773,0.331288344,0,0,4609.803681,14.88957055,15.34969325,4.165644172,0.294478528,1.061349693,19.66257669,13.34355828,1.742331288,1.791411043,29.1595092,7.208588957,21.57055215,36.6993865,2.153374233,1,2.36196319,0.012269939,0.055214724,230084.6319,1.539877301,2.441717791
2017,24,50.48648649,60.74710425,0.71042471,0.061776062,0,3.571428571,62.5965251,15.7027027,4.138996139,0.308880309,1.077220077,18.2972973,13.11389961,2.121621622,2.776061776,30.26061776,6.654440154,50.33976834,60.46718147,2.245173745,1.266409266,2.814671815,0.005791506,0.055984556,240265.5618,1.536679537,10.27220077
2017,25,14.87987988,31.29429429,14.55555556,13.12612613,13.08108108,672.5765766,16.1951952,15.81681682,3.807807808,0.321321321,1.042042042,20.32132132,15.15915916,2.093093093,1.438438438,28.83183183,6.375375375,14.36336336,30.37537538,1.918918919,1.648648649,2.441441441,0,0.333333333,250176.973,1.411411411,3.642642643
